name,gender,births
Miracle,F,12048
Blair,F,12034
David,F,12025
Roxanna,F,11996
Samara,F,11969
Octavia,F,11940
Dorthy,F,11928
Anika,F,11927
Sharlene,F,11893
Gena,F,11880
Princess,F,11877
Kenzie,F,11873
Nataly,F,11851
Addyson,F,11841
Lexie,F,11817
Tianna,F,11798
Kristal,F,11795
Janessa,F,11779
Dara,F,11776
Yasmine,F,11771
Janel,F,11728
Keely,F,11704
Micaela,F,11693
Rebeca,F,11682
Norah,F,11671
Brittani,F,11669
Alecia,F,11662
Rosanna,F,11646
Loren,F,11645
Dolly,F,11641
Maryellen,F,11636
Lawanda,F,11634
Edwina,F,11588
Coleen,F,11541
Emerson,F,11538
Lizette,F,11528
Anissa,F,11481
Kacie,F,11462
Fern,F,11461
Bailee,F,11427
Mckayla,F,11418
Annemarie,F,11406
Tommie,F,11397
Lesa,F,11384
Earlene,F,11355
Ainsley,F,11326
Kaydence,F,11228
Imogene,F,11211
Marylou,F,11189
Katina,F,11179
Katheryn,F,11173
Lilliana,F,11153
Shaina,F,11148
Madyson,F,11147
Maranda,F,11126
Nita,F,11097
Ciera,F,11092
Christen,F,11072
Christin,F,11055
Jadyn,F,11055
Kailyn,F,11055
Lauri,F,11031
Olive,F,11017
William,F,11017
Lizzie,F,11013
Luna,F,11013
Tamia,F,11005
Gia,F,11004
Ursula,F,10998
Sybil,F,10965
Breana,F,10957
Thalia,F,10957
Madelynn,F,10955
Ashanti,F,10948
Mavis,F,10947
Lina,F,10938
Lottie,F,10911
Marquita,F,10904
Amari,F,10882
Damaris,F,10856
Beverley,F,10847
Rhea,F,10828
Mariam,F,10827
Cori,F,10821
Gayla,F,10793
Marilynn,F,10780
Dalia,F,10771
Cali,F,10748
Justina,F,10729
Micah,F,10725
Lyric,F,10681
Kaylyn,F,10680
Moriah,F,10658
Jaelyn,F,10652
Ashly,F,10638
Georgette,F,10636
Alena,F,10635
Tayler,F,10627
Maia,F,10614
Althea,F,10590
Denice,F,10556
Jesse,F,10544
Melany,F,10539
Carmella,F,10537
Karlee,F,10504
Roxana,F,10497
Marlena,F,10496
Abbigail,F,10475
Aspen,F,10473
Louisa,F,10457
America,F,10453
Demetria,F,10424
Kailee,F,10416
Cleo,F,10406
Adelaide,F,10402
Earline,F,10385
Josefina,F,10380
Annamarie,F,10345
Valencia,F,10327
Isis,F,10310
Aida,F,10308
Danette,F,10300
Kori,F,10287
Hunter,F,10270
Leola,F,10252
Deidra,F,10236
Ivette,F,10235
Carlee,F,10221
Chaya,F,10215
Cornelia,F,10215
Judi,F,10212
Matilda,F,10210
Aleah,F,10207
Lilia,F,10164
Deann,F,10161
Miley,F,10140
Felecia,F,10139
Jazlyn,F,10130
Nikita,F,10130
Kathi,F,10109
Cherry,F,10096
Racheal,F,10093
Shantel,F,10070
Brook,F,10049
Sandi,F,10037
Cayla,F,10028
Breanne,F,10020
Catrina,F,10008
Shea,F,9997
Luisa,F,9993
Aubrie,F,9966
Ashlie,F,9911
Mandi,F,9910
Maryjane,F,9906
Marybeth,F,9881
Lorelei,F,9879
Marva,F,9869
Arleen,F,9859
Effie,F,9850
Giovanna,F,9845
Tatyana,F,9844
Latanya,F,9838
Mariela,F,9838
Marisela,F,9828
Karrie,F,9765
Ola,F,9741
Kinsley,F,9740
Kacey,F,9732
Emery,F,9729
Johnna,F,9708
Jolie,F,9706
Elle,F,9693
Marlee,F,9684
Harriett,F,9681
Neva,F,9665
Debby,F,9664
Dionne,F,9644
Angelita,F,9625
Ester,F,9620
Nona,F,9611
Karli,F,9609
Liberty,F,9605
Kinley,F,9581
Pearlie,F,9580
Alycia,F,9578
Loraine,F,9569
Rosario,F,9557
Chana,F,9553
Chastity,F,9545
Lacie,F,9519
Shellie,F,9518
Letitia,F,9516
Tera,F,9515
Karly,F,9514
Portia,F,9509
Amira,F,9507
Iliana,F,9502
Caren,F,9496
Christal,F,9431
Marietta,F,9431
Christopher,F,9419
Merry,F,9416
Vonda,F,9407
Macey,F,9393
Melodie,F,9388
Monika,F,9386
Jaimie,F,9379
Shanice,F,9377
Tisha,F,9370
Dallas,F,9339
Kaylynn,F,9339
Minerva,F,9328
Ayana,F,9318
Patience,F,9317
Cecile,F,9308
Reva,F,9291
Kelsi,F,9282
Goldie,F,9275
Farrah,F,9273
Alyce,F,9261
Margot,F,9223
Dayana,F,9221
Lashonda,F,9217
Melva,F,9199
Felicity,F,9189
Christiana,F,9185
Dinah,F,9184
Kasandra,F,9130
Winnie,F,9103
Tana,F,9096
Lisette,F,9078
Ali,F,9071
Alysha,F,9071
Annabel,F,9066
Petra,F,9062
Sade,F,9057
Latrice,F,9053
Roxie,F,9052
Lidia,F,9049
Haylie,F,9028
Maegan,F,9024
Jimena,F,9020
Annabella,F,9016
Twila,F,8999
Alysia,F,8994
Janiya,F,8986
Karol,F,8971
Parker,F,8965
Tiffanie,F,8962
Alta,F,8948
Karlie,F,8912
Suzan,F,8908
Ila,F,8901
Londyn,F,8900
Nell,F,8898
Elinor,F,8887
Unknown,F,8857
Francisca,F,8854
Savanah,F,8846
Kitty,F,8844
Joslyn,F,8838
Jacquelin,F,8830
Avis,F,8824
Starr,F,8819
Celine,F,8807
Roxann,F,8796
Corey,F,8790
Jannie,F,8788
Danika,F,8774
Mina,F,8773
Katelin,F,8766
